,沪深300,中证500,中证1000,创业板,中小100,中证100,上证50,中证全债
2008-11-18,1839.819,1816.285,1695.211,,2437.97,1938.208,1459.109,127.15
2008-11-19,1953.163,1944.327,1809.915,,2598.843,2052.148,1543.77,127.14
2008-11-20,1932.428,1948.681,1811.985,,2577.945,2019.456,1511.797,126.64
2008-11-21,1920.735,1921.04,1794.57,,2517.586,2009.871,1501.093,126.64
2008-11-24,1837.642,1842.344,1726.55,,2462.395,1924.107,1435.641,126.65
2008-11-25,1834.294,1827.642,1714.32,,2472.454,1924.233,1435.356,126.62
2008-11-26,1843.495,1834.774,1717.216,,2473.54,1935.401,1440.636,125.96
2008-11-27,1870.473,1861.518,1738.551,,2542.32,1961.879,1455.736,126.76
2008-11-28,1829.924,1841.45,1719.43,,2574.035,1914.562,1411.165,126.77
2008-12-01,1864.205,1919.475,1801.671,,2643.976,1935.699,1424.864,126.86
2008-12-02,1868.631,1957.322,1841.692,,2696.977,1929.138,1419.485,126.82
2008-12-03,1952.668,2039.927,1912.763,,2809.053,2016.879,1486.89,127.07
2008-12-04,1982.928,2037.723,1912.809,,2828.153,2056.79,1521.595,126.96
2008-12-05,2013.175,2098.656,1972.407,,2884.656,2082.857,1538.468,127.53
2008-12-08,2095.036,2190.532,2054.205,,2999.955,2166.319,1602.749,127.68
2008-12-09,2040.847,2134.58,2001.218,,2958.508,2107.734,1554.506,127.7
2008-12-10,2096.393,2195.743,2070.9,,3031.563,2167.713,1607.489,127.38
2008-12-11,2046.337,2127.183,2013.356,,2924.819,2119.332,1567.021,127.26
2008-12-12,1960.38,2031.992,1916.198,,2790.854,2031.791,1499.292,127.84
2008-12-15,1975.034,2073.029,1956.286,,2823.731,2041.671,1508.715,128.13
2008-12-16,1994.45,2110.244,1983.742,,2900.057,2056.208,1512.084,128.03
2008-12-17,2001.42,2136.309,2015.495,,2943.234,2056.907,1510.349,128.74
2008-12-18,2045.102,2175.357,2049.499,,2989.572,2107.372,1552.748,128.74
2008-12-19,2052.114,2194.994,2066.431,,3036.57,2111.413,1554.114,129.04
2008-12-22,2017.549,2193.475,2075.308,,3061.068,2069.309,1522.438,129.12
2008-12-23,1918.955,2054.535,1938.597,,2885.965,1972.988,1451.759,129.24
2008-12-24,1887.075,2010.104,1895.662,,2819.648,1940.31,1428.895,129.18
2008-12-25,1870.765,2003.488,1898.36,,2841.116,1921.389,1415.829,128.64
2008-12-26,1862.096,1983.757,1877.903,,2867.151,1915.357,1416.833,129.35
2008-12-29,1854.757,1984.755,1873.526,,2864.314,1903.675,1407.626,129.88
2008-12-30,1833.435,1971.466,1865.956,,2876.1,1881.205,1390.401,129.29
2008-12-31,1817.722,1939.433,1830.823,,2863.99,1870.044,1384.914,129.6
2009-01-05,1882.959,2020.243,1920.098,,2946.436,1934.971,1436.885,129.42
2009-01-06,1942.795,2091.892,1982.87,,2981.815,1992.291,1482.284,129.47
2009-01-07,1931.178,2104.922,1995.189,,2992.996,1975.269,1468.456,129.47
2009-01-08,1887.991,2052.3,1951.985,,2932.491,1927.823,1430.087,129.71
2009-01-09,1918.365,2107.766,2009.095,,3013.6,1952.96,1447.143,129.89
2009-01-12,1920.687,2137.841,2032.54,,3043.806,1947.351,1441.731,129.92
2009-01-13,1876.185,2081.672,1970.025,,2945.488,1904.877,1414.08,129.8
2009-01-14,1955.244,2160.064,2054.569,,3058.07,1986.751,1476.709,129.78
2009-01-15,1954.874,2181.061,2079.863,,3066.521,1978.321,1469.204,129.47
2009-01-16,1990.214,2195.634,2090.017,,3071.276,2019.446,1502.004,128.9
2009-01-19,2012.465,2192.807,2085.582,,3067.927,2053.513,1529.576,128.93
2009-01-20,2025.19,2214.839,2111.385,,3102.774,2063.972,1539.373,128.43
2009-01-21,2021.71,2217.626,2107.868,,3038.831,2056.923,1536.759,127.81
2009-01-22,2044.551,2256.367,2140.159,,3078.822,2074.747,1547.589,127.91
2009-01-23,2032.682,2238.082,2122.348,,3059.426,2061.213,1538.273,128.13
2009-02-02,2057.063,2306.769,2193.694,,3127.152,2074.384,1541.678,128.2
2009-02-03,2108.91,2369.654,2254.406,,3188.55,2126.653,1580.293,127.97
2009-02-04,2166.414,2423.887,2297.072,,3242.247,2190.209,1631.742,127.58
2009-02-05,2150.971,2384.764,2270.259,,3174.558,2181.907,1629.466,126.89
2009-02-06,2237.28,2493.74,2367.722,,3301.935,2265.333,1689.002,127.0
2009-02-09,2296.672,2579.228,2441.635,,3422.941,2315.227,1716.505,127.12
2009-02-10,2326.755,2653.213,2508.645,,3486.121,2333.946,1723.548,127.31
2009-02-11,2331.138,2658.05,2511.311,,3490.004,2342.742,1728.942,127.22
2009-02-12,2318.343,2707.922,2557.241,,3518.955,2313.106,1699.346,127.52
2009-02-13,2399.065,2805.01,2640.39,,3632.164,2389.513,1755.569,127.51
2009-02-16,2462.245,2854.444,2694.434,,3655.953,2463.28,1817.061,127.64
2009-02-17,2385.293,2738.58,2591.384,,3548.796,2388.515,1763.945,127.55
2009-02-18,2275.843,2632.908,2500.357,,3412.607,2270.115,1675.858,127.62
2009-02-19,2298.412,2687.489,2560.656,,3480.874,2280.901,1675.769,127.74
2009-02-20,2344.32,2776.955,2643.537,,3583.326,2314.831,1695.255,127.8
2009-02-23,2410.481,2871.792,2732.416,,3675.781,2372.218,1733.424,127.86
2009-02-24,2301.849,2754.24,2622.024,,3512.206,2255.017,1640.568,127.92
2009-02-25,2304.251,2771.098,2650.183,,3492.21,2265.109,1662.263,128.0
2009-02-26,2190.185,2571.276,2461.931,,3283.597,2173.145,1605.611,127.94
