,沪深300,中证500,中证1000,创业板,中小100,中证100,上证50,中证全债
2008-08-29,2391.64,2307.158,2105.882,,3199.73,2550.806,1975.453,115.42
2008-09-05,2183.43,2148.741,1952.604,,2864.57,2320.841,1796.961,116.28
2008-09-12,2077.85,2038.66,1836.743,,2758.99,2210.296,1711.959,116.93
2008-09-19,2073.11,2086.826,1877.695,,2824.15,2177.082,1650.537,120.05
2008-09-26,2243.66,2136.001,1917.374,,2838.74,2375.732,1811.339,120.18
2008-10-10,1906.96,1837.404,1646.934,,2444.54,2006.487,1528.135,123.51
2008-10-17,1833.26,1726.4,1547.959,,2238.99,1946.833,1480.162,124.65
2008-10-24,1781.6,1741.181,1575.055,,2299.92,1870.82,1408.126,124.32
2008-10-31,1663.66,1562.022,1406.758,,2201.02,1768.871,1327.705,125.12
2008-11-07,1677.83,1561.221,1432.779,,2177.54,1798.381,1363.458,125.97
2008-11-14,1943.65,1867.485,1737.469,,2516.835,2058.061,1550.465,127.23
2008-11-21,1920.74,1921.04,1794.57,,2517.586,2009.871,1501.093,126.64
2008-11-28,1829.92,1841.45,1719.43,,2574.035,1914.562,1411.165,126.77
2008-12-05,2013.18,2098.656,1972.407,,2884.656,2082.857,1538.468,127.53
2008-12-12,1960.38,2031.992,1916.198,,2790.854,2031.882,1499.292,127.84
2008-12-19,2052.11,2194.994,2066.431,,3036.57,2111.413,1554.114,129.04
2008-12-26,1862.1,1983.757,1877.903,,2867.151,1915.306,1416.833,129.35
2008-12-31,1817.72,1939.433,1830.823,,2863.99,1870.044,1384.914,129.6
2009-01-09,1918.37,2107.766,2009.095,,3013.6,1952.96,1447.143,129.89
2009-01-16,1990.21,2195.634,2090.017,,3071.276,2019.446,1502.004,128.9
2009-01-23,2032.68,2238.082,2122.348,,3059.426,2061.213,1538.273,128.13
2009-02-06,2237.28,2493.74,2367.722,,3301.935,2265.333,1689.002,127.0
2009-02-13,2399.07,2805.01,2640.39,,3632.164,2389.513,1755.569,127.51
2009-02-20,2344.32,2776.955,2643.537,,3583.326,2314.831,1695.255,127.8
2009-02-27,2140.49,2416.949,2302.017,,3187.717,2149.561,1592.01,127.7
2009-03-06,2286.58,2653.469,2548.335,,3436.158,2276.057,1676.79,127.59
2009-03-13,2205.42,2569.629,2469.922,,3330.04,2204.004,1626.018,127.92
2009-03-20,2379.84,2784.106,2672.452,,3588.388,2353.796,1726.211,128.13
2009-03-27,2498.93,2877.88,2773.332,,3712.679,2477.507,1825.631,127.75
2009-04-03,2570.5,2934.253,2848.325,,3868.745,2562.222,1892.727,127.78
2009-04-10,2595.53,3009.376,2945.905,,3973.584,2575.849,1895.159,127.45
2009-04-17,2650.69,3119.419,3042.655,,4081.76,2615.847,1920.309,127.46
2009-04-24,2572.89,3036.761,2956.25,,4039.209,2548.735,1860.748,127.82
2009-04-30,2622.93,3086.217,2971.896,,4030.396,2597.312,1895.7,127.82
2009-05-08,2789.22,3257.588,3160.738,,4204.582,2768.525,2022.953,128.03
2009-05-15,2796.12,3270.738,3183.185,,4229.919,2770.763,2022.301,128.3
2009-05-22,2740.68,3254.534,3164.271,,4175.683,2700.27,1967.661,128.63
2009-05-27,2759.71,3276.748,3179.668,,4209.59,2719.564,1991.285,128.76
2009-06-05,2939.31,3355.778,3243.499,,4271.272,2919.349,2160.416,128.6
2009-06-12,2906.29,3309.587,3217.711,,4215.795,2908.452,2156.534,128.26
2009-06-19,3080.0,3434.055,3319.755,,4347.792,3103.997,2309.224,128.35
2009-06-26,3128.42,3448.461,3356.416,,4367.504,3153.679,2344.398,128.18
2009-07-03,3327.14,3584.858,3423.765,,4446.811,3365.759,2508.282,127.79
2009-07-10,3398.31,3719.97,3566.932,,4596.205,3405.897,2519.075,127.99
2009-07-17,3519.81,3852.863,3703.256,,4688.121,3521.774,2604.354,127.4
2009-07-24,3667.56,3907.967,3741.69,,4678.208,3680.544,2743.025,127.3
2009-07-31,3734.62,3928.584,3771.171,,4766.899,3767.307,2816.886,127.04
2009-08-07,3555.1,3893.125,3742.531,,4768.951,3555.816,2634.488,127.09
2009-08-14,3344.46,3609.698,3434.003,,4433.959,3341.552,2463.523,127.41
2009-08-21,3203.62,3468.042,3312.081,,4276.452,3212.578,2367.567,127.31
2009-08-28,3046.78,3531.41,3398.373,,4361.227,3005.476,2193.518,127.48
2009-09-04,3077.14,3489.063,3355.186,,4319.179,3055.367,2237.492,127.52
2009-09-11,3238.13,3641.816,3492.153,,4583.03,3213.066,2356.98,127.61
2009-09-18,3199.69,3739.732,3626.91,,4698.32,3147.571,2296.319,127.69
2009-09-25,3058.53,3536.811,3415.828,,4503.671,3038.04,2226.003,127.48
2009-09-30,3004.81,3400.623,3250.403,,4436.645,2997.228,2198.407,127.25
2009-10-09,3163.71,3576.444,3419.11,,4663.348,3148.645,2308.682,127.48
2009-10-16,3241.71,3716.897,3578.557,,4685.353,3217.804,2358.968,127.12
2009-10-23,3413.25,3908.435,3751.551,,4845.753,3383.162,2481.542,127.09
2009-10-30,3280.37,3827.683,3665.991,,4792.926,3241.515,2376.032,127.0
2009-11-06,3483.02,4145.137,3969.635,,5131.404,3428.087,2512.416,126.84
2009-11-13,3518.72,4267.008,4104.987,,5322.96,3450.972,2523.989,127.06
2009-11-20,3631.01,4508.293,4358.747,,5521.601,3543.305,2583.012,127.44
2009-11-27,3382.51,4215.338,4074.01,,5174.463,3295.315,2388.942,127.36
2009-12-04,3643.49,4506.082,4375.979,,5503.973,3559.957,2587.146,127.66
2009-12-11,3575.02,4534.763,4408.394,,5531.41,3472.37,2507.196,127.64
2009-12-18,3391.74,4203.48,4091.683,,5207.226,3328.647,2424.685,127.62
2009-12-25,3424.78,4376.193,4255.653,,5448.973,3332.713,2406.597,127.87
2009-12-31,3575.68,4485.255,4391.281,,5631.758,3506.165,2553.8,127.79
2010-01-08,3480.13,4514.452,4417.771,,5582.577,3387.391,2466.165,127.66
2010-01-15,3482.74,4747.648,4658.087,,5867.641,3338.431,2427.807,127.82
2010-01-22,3366.2,4537.88,4471.278,,5546.071,3251.401,2380.055,128.0
2010-01-29,3204.16,4374.649,4290.323,,5437.427,3082.685,2243.994,128.4
2010-02-05,3153.09,4311.293,4281.782,,5269.245,3043.194,2219.6,128.86
2010-02-12,3251.28,4416.219,4366.276,,5436.517,3136.896,2284.386,129.15
2010-02-26,3281.67,4634.671,4653.344,,5660.489,3133.173,2274.325,129.59
2010-03-05,3259.76,4604.586,4617.363,,5604.17,3122.207,2267.939,130.35
2010-03-12,3233.13,4492.861,4532.081,,5489.164,3117.536,2274.532,130.24
2010-03-19,3293.87,4663.903,4723.848,,5652.578,3166.378,2310.546,130.66
2010-03-26,3275.0,4686.931,4742.465,,5700.083,3144.341,2292.673,130.61
2010-04-02,3407.35,4843.175,4922.824,,5945.902,3262.552,2379.194,130.53
2010-04-09,3379.17,4939.176,5031.25,,6092.072,3215.71,2345.754,130.43
2010-04-16,3356.33,4898.67,5019.351,,6045.675,3180.943,2329.12,130.68
2010-04-23,3190.0,4864.164,5007.598,,6047.323,2974.226,2185.155,131.0
2010-04-30,3067.37,4438.681,4527.758,,5602.974,2906.299,2149.453,131.43
2010-05-07,2836.79,4350.758,4453.169,,5471.124,2664.687,1980.168,131.79
2010-05-14,2868.02,4184.841,4257.811,,5296.099,2717.012,2019.73,131.95
2010-05-21,2768.79,3982.385,3993.737,,5218.364,2631.331,1943.429,132.6
2010-05-28,2850.3,4235.322,4281.087,,5450.838,2675.692,1973.622,132.58
2010-06-04,2744.39,4089.035,4133.329,1027.681,5365.159,2569.91,1894.45,132.73
2010-06-11,2758.87,4197.995,4277.137,1122.199,5514.792,2564.279,1883.196,133.03
2010-06-18,2696.17,3972.286,4067.739,1000.277,5198.089,2537.943,1870.871,133.25
2010-06-25,2736.29,4028.433,4139.807,1016.283,5263.878,2588.698,1915.91,132.88
2010-07-02,2534.11,3585.576,3659.949,873.12,4740.161,2432.143,1812.58,133.3
2010-07-09,2647.1,3807.604,3886.272,932.147,5043.199,2525.388,1870.303,133.47
2010-07-16,2616.13,3757.432,3841.829,892.298,4924.294,2496.099,1839.219,133.98
2010-07-23,2793.08,4015.467,4131.474,960.588,5287.148,2654.508,1945.451,133.89
2010-07-30,2868.85,4191.13,4299.045,968.431,5495.755,2712.59,1986.76,134.04
2010-08-06,2897.66,4356.012,4480.654,1011.39,5703.749,2718.718,1979.228,134.14
2010-08-13,2855.55,4323.052,4471.538,1007.206,5717.664,2665.441,1930.671,134.37
2010-08-20,2898.33,4366.604,4522.607,995.944,5809.469,2719.06,1967.061,134.44
2010-08-27,2858.57,4431.444,4585.511,999.456,5950.344,2666.775,1917.581,134.59
2010-09-03,2920.21,4662.96,4845.913,1036.703,6216.163,2704.315,1929.186,134.81
2010-09-10,2932.55,4705.31,4886.05,1034.939,6307.387,2691.024,1915.645,134.86
2010-09-17,2861.37,4603.489,4767.48,972.229,6209.298,2614.788,1857.31,134.63
2010-09-21,2857.48,4546.724,4677.679,934.461,6169.177,2623.581,1864.414,134.54
2010-09-30,2935.57,4660.605,4785.49,942.539,6332.361,2683.142,1913.109,134.8
2010-10-08,3044.23,4767.967,4899.57,959.863,6492.466,2789.091,1990.014,134.87
2010-10-15,3327.68,4691.45,4789.479,944.254,6348.835,3122.809,2254.392,134.55
2010-10-22,3378.66,4877.927,4985.849,1013.448,6665.05,3131.923,2231.057,133.54
2010-10-29,3379.98,5055.492,5211.524,1064.522,6942.156,3102.576,2189.479,133.35
2010-11-05,3520.8,5311.77,5473.105,1072.219,7159.764,3219.764,2279.004,132.64
2010-11-12,3291.83,5111.189,5227.248,1082.24,6871.385,3001.685,2130.581,131.25
2010-11-19,3178.85,5081.03,5236.569,1153.171,6898.237,2886.441,2039.445,131.23
2010-11-26,3194.85,5227.648,5444.856,1196.019,7098.78,2878.969,2018.397,130.72
2010-12-03,3158.16,5100.366,5299.78,1157.939,6878.836,2851.317,2008.12,131.03
2010-12-10,3161.98,5039.165,5253.71,1166.801,6918.151,2866.673,2021.651,131.3
